altitude [km],density_LSA [kg/m^3],H_LSA [km],density_LSA [kg/m^3],H_LSA[km],density_LSA [kg/m^3],H_LSA [km]
0.00E+00,1.17E+00,8.78E+00,1.17E+00,8.78E+00,1.16E+00,8.78E+00
2.00E+01,9.48E-02,6.03E+00,9.49E-02,6.03E+00,9.41E-02,6.03E+00
4.00E+01,4.07E-03,7.54E+00,4.07E-03,7.54E+00,4.04E-03,7.54E+00
6.00E+01,3.31E-04,7.14E+00,3.31E-04,7.14E+00,3.28E-04,7.14E+00
8.00E+01,1.69E-05,5.90E+00,1.68E-05,5.73E+00,1.68E-05,5.11E+00
1.00E+02,5.77E-07,5.10E+00,5.08E-07,5.62E+00,2.78E-07,9.61E+00
1.20E+02,1.70E-08,1.14E+01,1.80E-08,1.23E+01,2.34E-08,1.54E+01
1.40E+02,2.96E-09,1.84E+01,3.26E-09,2.19E+01,4.93E-09,3.32E+01
1.60E+02,9.65E-10,2.24E+01,1.18E-09,2.85E+01,2.23E-09,4.51E+01
1.80E+02,3.90E-10,2.51E+01,5.51E-10,3.32E+01,1.28E-09,5.36E+01
2.00E+02,1.75E-10,2.73E+01,2.91E-10,3.67E+01,8.28E-10,5.97E+01
2.20E+02,8.47E-11,2.92E+01,1.66E-10,3.96E+01,5.69E-10,6.43E+01
2.40E+02,4.31E-11,3.09E+01,9.91E-11,4.20E+01,4.08E-10,6.79E+01
2.60E+02,2.30E-11,3.24E+01,6.16E-11,4.40E+01,3.00E-10,7.07E+01
2.80E+02,1.27E-11,3.37E+01,3.94E-11,4.57E+01,2.25E-10,7.30E+01
3.00E+02,7.22E-12,3.48E+01,2.58E-11,4.73E+01,1.71E-10,7.49E+01
3.20E+02,4.21E-12,3.58E+01,1.72E-11,4.86E+01,1.32E-10,7.65E+01
3.40E+02,2.50E-12,3.67E+01,1.16E-11,4.98E+01,1.03E-10,7.79E+01
3.60E+02,1.51E-12,3.77E+01,7.99E-12,5.08E+01,8.05E-11,7.92E+01
3.80E+02,9.20E-13,3.87E+01,5.55E-12,5.17E+01,6.35E-11,8.03E+01
4.00E+02,5.68E-13,4.00E+01,3.89E-12,5.25E+01,5.04E-11,8.12E+01
4.20E+02,3.54E-13,4.16E+01,2.75E-12,5.33E+01,4.02E-11,8.21E+01
4.40E+02,2.23E-13,4.38E+01,1.96E-12,5.41E+01,3.23E-11,8.29E+01
4.60E+02,1.42E-13,4.68E+01,1.40E-12,5.49E+01,2.60E-11,8.36E+01
4.80E+02,9.20E-14,5.08E+01,1.01E-12,5.58E+01,2.10E-11,8.42E+01
5.00E+02,6.03E-14,5.61E+01,7.30E-13,5.68E+01,1.70E-11,8.48E+01
5.20E+02,4.03E-14,6.30E+01,5.31E-13,5.80E+01,1.38E-11,8.53E+01
5.40E+02,2.75E-14,7.16E+01,3.88E-13,5.94E+01,1.13E-11,8.59E+01
5.60E+02,1.93E-14,8.21E+01,2.85E-13,6.11E+01,9.21E-12,8.64E+01
5.80E+02,1.39E-14,9.41E+01,2.11E-13,6.32E+01,7.55E-12,8.68E+01
6.00E+02,1.03E-14,1.07E+02,1.56E-13,6.57E+01,6.20E-12,8.73E+01
6.20E+02,7.90E-15,1.21E+02,1.17E-13,6.87E+01,5.10E-12,8.78E+01
6.40E+02,6.24E-15,1.35E+02,8.79E-14,7.23E+01,4.20E-12,8.83E+01
6.60E+02,5.06E-15,1.48E+02,6.65E-14,7.66E+01,3.47E-12,8.88E+01
6.80E+02,4.21E-15,1.60E+02,5.08E-14,8.17E+01,2.88E-12,8.94E+01
7.00E+02,3.58E-15,1.71E+02,3.91E-14,8.76E+01,2.38E-12,8.99E+01
7.20E+02,3.09E-15,1.81E+02,3.04E-14,9.43E+01,1.98E-12,9.06E+01
7.40E+02,2.70E-15,1.89E+02,2.39E-14,1.02E+02,1.65E-12,9.13E+01
7.60E+02,2.39E-15,1.97E+02,1.90E-14,1.10E+02,1.37E-12,9.20E+01
7.80E+02,2.13E-15,2.04E+02,1.53E-14,1.19E+02,1.15E-12,9.29E+01
8.00E+02,1.91E-15,2.11E+02,1.25E-14,1.29E+02,9.59E-13,9.38E+01
8.20E+02,1.73E-15,2.17E+02,1.03E-14,1.39E+02,8.04E-13,9.48E+01
8.40E+02,1.56E-15,2.24E+02,8.64E-15,1.48E+02,6.74E-13,9.60E+01
8.60E+02,1.42E-15,2.30E+02,7.32E-15,1.58E+02,5.67E-13,9.73E+01
8.80E+02,1.30E-15,2.36E+02,6.28E-15,1.68E+02,4.77E-13,9.87E+01
9.00E+02,1.18E-15,2.42E+02,5.46E-15,1.77E+02,4.03E-13,1.00E+02
9.50E+02,1.98E-15,2.63E+02,1.98E-15,2.63E+02,1.98E-15,2.63E+02
1.00E+03,1.49E-15,2.96E+02,1.49E-15,2.96E+02,1.49E-15,2.96E+02
1.25E+03,5.70E-16,4.08E+02,5.70E-16,4.08E+02,5.70E-16,4.08E+02
1.50E+03,2.79E-16,5.16E+02,2.79E-16,5.16E+02,2.79E-16,5.16E+02
2.00E+03,9.09E-17,8.29E+02,9.09E-17,8.29E+02,9.09E-17,8.29E+02
2.50E+03,4.23E-17,1.22E+03,4.23E-17,1.22E+03,4.23E-17,1.22E+03
3.00E+03,2.54E-17,1.59E+03,2.54E-17,1.59E+03,2.54E-17,1.59E+03
3.50E+03,1.77E-17,1.90E+03,1.77E-17,1.90E+03,1.77E-17,1.90E+03
4.00E+03,1.34E-17,2.18E+03,1.34E-17,2.18E+03,1.34E-17,2.18E+03
4.50E+03,1.06E-17,2.43E+03,1.06E-17,2.43E+03,1.06E-17,2.43E+03
5.00E+03,8.62E-18,2.69E+03,8.62E-18,2.69E+03,8.62E-18,2.69E+03
6.00E+03,6.09E-18,3.20E+03,6.09E-18,3.20E+03,6.09E-18,3.20E+03
7.00E+03,4.56E-18,3.75E+03,4.56E-18,3.75E+03,4.56E-18,3.75E+03
8.00E+03,3.56E-18,4.34E+03,3.56E-18,4.34E+03,3.56E-18,4.34E+03
9.00E+03,2.87E-18,4.97E+03,2.87E-18,4.97E+03,2.87E-18,4.97E+03
1.00E+04,2.37E-18,5.63E+03,2.37E-18,5.63E+03,2.37E-18,5.63E+03
1.50E+04,1.21E-18,9.60E+03,1.21E-18,9.60E+03,1.21E-18,9.60E+03
2.00E+04,7.92E-19,1.46E+04,7.92E-19,1.46E+04,7.92E-19,1.46E+04
2.50E+04,5.95E-19,2.07E+04,5.95E-19,2.07E+04,5.95E-19,2.07E+04
3.00E+04,4.83E-19,2.78E+04,4.83E-19,2.78E+04,4.83E-19,2.78E+04
3.50E+04,4.13E-19,3.60E+04,4.13E-19,3.60E+04,4.13E-19,3.60E+04
3.58E+04,4.04E-19,3.73E+04,4.04E-19,3.73E+04,4.04E-19,3.73E+04
